ofertas,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,propiedades_de_la_carcasa_bahia_externa_de_3_5,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq,procesador_zocalo_de_cpu_freq
31.0,,SSD,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.4,,,1920 x 1080 píxeles,,,,,,90.0,,,,,IEEE 802.11be,Intel,,,,,16:10,L3,,teclado iluminado,4.0,,,,64.0,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,1474.13,2483.15,1978.64,14.0,35.56,,,1920x1080,,,24.6,19.0,31.3,1.7,,,,,,1000.0,,,,28.0,,,,,,,,,1,,,39.0,28.0,462.0,,,,,,,,,,,
1.0,WUXGA,,,,"Bluetooth, wifi",Bluetooth 5.1,2.0 Mpx,,1920 x 1080 píxeles,,,,2.0,ión-litio,61.0,,,,,,Intel,1.0,Intel,,Dolby Atmos,,L3,LPDDR5X,teclado iluminado,4.0,gris,,,64.0,,ninguna,ninguno,,,,,,,,0x SO-DIMM,,,,,,,Intel AI Boost,,,,,,,,Laptop,,,,,,,,,,,,,,,,,849.01,849.01,849.01,14.0,35.56,,,1920x1080,,65.0,22.1,15.0,31.2,1.3,,60.0,24.0,16.0,7467.0,512.0,4.0,3.8,4.8,28.0,,,,,,,,,1,192.0,270.0,46.0,,462.0,,,3731.0,297.0,,1212.0,366.0,,537.0,537.0,
6.0,Full HD,,HDMI 1.4,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,con tapa,,,,Intel,1.0,Intel,,SonicMaster,,L3,DDR4,,3.0,plateado,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,544.27,590.49,567.38,15.6,39.624,,,1280x720,,,23.25,17.0,35.97,1.7,,60.0,12.0,16.0,,512.0,,0.9,4.4,15.0,16.0,,,,,,,,1,165.0,916.0,198.0,673.0,536.0,,,3731.0,684.0,,1212.0,753.0,,1604.0,1604.0,
19.0,Full HD,SSD,HDMI 1.4,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,con tapa,,,,Intel,1.0,,,SonicMaster,,L3,DDR4,,3.0,plateado,,,,,,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,545.56,644.41,594.98,15.6,39.624,,,1280x720,,,23.25,17.0,35.97,1.7,,60.0,12.0,16.0,,512.0,,1.2,5.0,15.0,,,,,,,,,1,134.0,916.0,198.0,673.0,309.0,,,3731.0,37.0,,265.0,753.0,,1604.0,1604.0,
4.0,Full HD,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98.0,,2.0,polímero de litio,72.0,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,4.0,negro,,,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,HD Audio,Certificación MIL-STD 810H,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,999.0,1069.0,1034.0,15.6,39.624,350.0,,,23.0,,22.3,17.0,35.6,1.2,,,18.0,16.0,6400.0,512.0,3.0,1.2,4.5,115.0,16.0,,,9360.0,,,,,1,49.0,270.0,76.0,58.0,462.0,,34.0,3731.0,128.0,,1212.0,299.0,,1604.0,1604.0,
11.0,Full HD,SSD,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98.0,,2.0,polímero de litio,72.0,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,teclado iluminado,4.0,blanco,,,64.0,,,ninguno,teclado numérico,,Gigabit-LAN,HD Audio,Certificación MIL-STD 810H,,,,,,,,,,Intel AI Boost,,,,,,,,Laptop,,,,,,,,,,,,,,,,,999.0,1403.59,1201.3,15.6,39.624,350.0,,,23.0,,22.3,17.0,35.6,1.2,,,24.0,16.0,6400.0,512.0,3.0,3.8,4.8,28.0,,,,9360.0,,,,,1,192.0,270.0,76.0,58.0,462.0,,34.0,3731.0,297.0,,1212.0,366.0,,1604.0,1604.0,
18.0,Full HD,SSD,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98.0,,2.0,polímero de litio,72.0,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,teclado iluminado,4.0,negro,,,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,HD Audio,Certificación MIL-STD 810H,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,989.0,1913.41,1451.2,15.6,39.624,350.0,,,23.0,,22.3,17.0,35.6,1.2,,,24.0,16.0,6400.0,512.0,3.0,3.8,4.8,28.0,16.0,,,9360.0,,,,,1,192.0,270.0,76.0,58.0,462.0,,34.0,3731.0,297.0,,1212.0,366.0,,1604.0,1604.0,
19.0,Full HD,,HDMI 1.4,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,con tapa,,,,Intel,1.0,Intel,,SonicMaster,,L3,DDR4,,3.0,plateado,,,,,ninguna,ninguno,teclado numérico,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 8 + 1 x 8 GB,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,523.48,620.1,571.79,15.6,39.624,,,1280x720,,,23.25,17.0,35.97,1.7,,60.0,12.0,16.0,,512.0,,1.2,4.7,15.0,16.0,,,,,,,,1,93.0,916.0,198.0,673.0,536.0,,,3731.0,807.0,,272.0,753.0,,1604.0,1604.0,
21.0,Full HD,,HDMI 1.4,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,con tapa,,,,Intel,1.0,Intel,,SonicMaster,,L3,DDR4,,3.0,plateado,,,,,ninguna,ninguno,teclado numérico,retroiluminación LED,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,431.48,534.52,483.0,15.6,39.624,,,1280x720,,,23.25,17.0,35.97,1.7,,60.0,12.0,8.0,,512.0,,,4.6,55.0,16.0,,,,,,,,1,21.0,715.0,198.0,673.0,866.0,,,3731.0,684.0,,265.0,753.0,,1604.0,1604.0,
9.0,2.8K,,HDMI,,"wifi, Bluetooth",Bluetooth 5.4,,,,teclado FineTip,,,,polímero de litio,64.0,aluminio,convertible,,2024.0,IEEE 802.11be,,1.0,,,,16:10,,,,6.0,,,,,"0,2 ms",,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,2224.21,2832.58,2528.39,14.0,35.56,400.0,,,,,21.6,14.0,21.6,1.34,,,,,,,,,,,,,,,,,,,1,,,5.0,,,,,3731.0,,,1212.0,,,168.0,168.0,
3.0,,SSD,HDMI,,"wifi, Bluetooth",,integrada,,,,,,,,50.0,aluminio,con tapa,,2023.0,IEEE 802.11ac,Intel,1.0,Intel,,SonicMaster,,L3,DDR4,,3.0,plateado,,,64.0,,ninguna,ninguno,,OLED,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,779.0,1130.2,954.6,15.6,39.624,,,,,,22.7,20.0,35.6,1.7,,,,16.0,,1000.0,,,,,,,,,,,,,1,,916.0,198.0,673.0,,,,3731.0,684.0,,1212.0,,,,,
1.0,,SSD,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.4,,,1920 x 1080 píxeles,,,,,,90.0,,,,,IEEE 802.11be,Intel,,Intel,,,16:10,L3,DDR5,teclado iluminado,4.0,gris,,,64.0,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,1474.13,1474.13,1474.13,14.0,35.56,,,1920x1080,,,24.6,19.0,31.3,1.7,,,18.0,16.0,,1000.0,,3.6,4.5,28.0,,,,,,,,,1,49.0,270.0,39.0,28.0,462.0,,,3731.0,128.0,,1212.0,299.0,,1604.0,1604.0,
3.0,2.8K,,HDMI,,"wifi, Bluetooth",,integrada,,,,,,,,50.0,aluminio,con tapa,,2023.0,IEEE 802.11ac,Intel,1.0,Intel,,SonicMaster,,L3,DDR4,,3.0,plateado,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,779.0,1130.2,954.6,15.6,39.624,,,,,,22.7,20.0,35.6,1.7,,120.0,12.0,16.0,,1000.0,,,4.6,55.0,16.0,,,,,,,,1,141.0,916.0,198.0,673.0,866.0,,,3731.0,684.0,,1212.0,753.0,,22.0,22.0,
15.0,Full HD,,HDMI 1.4,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,con tapa,,,,Intel,1.0,Intel,,SonicMaster,,L3,DDR4,,3.0,plateado,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,616.4,805.0,710.7,15.6,39.624,,,1280x720,,,23.25,17.0,35.97,1.7,,60.0,12.0,16.0,,512.0,,1.2,5.0,15.0,,,,,,,,,1,134.0,916.0,198.0,673.0,309.0,,,3731.0,807.0,,1212.0,753.0,,1604.0,1604.0,
1.0,WUXGA,,HDMI,integrado,"wifi, Bluetooth, NFC",Bluetooth 5.1,2.0 Mpx,,,,,,,polímero de litio,47.0,,convertible,,2023.0,,Intel,,Intel,MicroSD,,16:10,L3,LPDDR5,,4.0,,,,,,,ninguno,,,,,,,,,,,,,convertible,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,409.0,409.0,409.0,12.2,30.988,300.0,,,12.0,45.0,21.0,18.0,28.4,1.25,,,6.0,8.0,,128.0,,1.0,,15.0,,15.0,3.0,,,,,,1,,715.0,163.0,462.0,44.0,,,3731.0,,,71.0,355.0,,537.0,537.0,
17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,530.02,763.2,646.61,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,198.0,,,,,,,,,,,,,
4.0,WUXGA,,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,80.0,teclado numérico,2.0,polímero de litio,72.0,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR5,teclado iluminado,4.0,negro,,,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,HD Audio,Certificación MIL-STD 810H,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,organización de imágenes,,,,disco duro,cable de alimentación,"resistente a la humedad, resistente a golpes",,,Laptop,,,,,,,,,,,,,,,,,949.0,999.0,974.0,14.0,35.56,350.0,,,29.5,,21.4,17.0,31.2,1.1,,,18.0,16.0,6400.0,512.0,3.0,3.6,4.5,28.0,,,,9360.0,,,,,1,49.0,270.0,76.0,58.0,462.0,,4.0,3731.0,128.0,,1212.0,299.0,,537.0,537.0,
23.0,Full HD,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98.0,,2.0,polímero de litio,72.0,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,4.0,negro,,,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,HD Audio,Certificación MIL-STD 810H,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,1172.47,2548.66,1860.57,15.6,39.624,350.0,,,23.0,,22.3,17.0,35.6,1.2,,,24.0,32.0,6400.0,1000.0,3.0,3.8,4.8,28.0,,,,9360.0,,,,,1,192.0,270.0,76.0,58.0,462.0,,34.0,3731.0,297.0,,1212.0,366.0,,1604.0,1604.0,
5.0,,PCIe SSD,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,,teclado gamer,,,2.0,,90.0,,con tapa,,2024.0,IEEE 802.11ax,Intel,,NVIDIA,,altavoces estéreo,,,DDR5,,4.0,negro,,GDDR6,,,,,,,Gigabit-LAN,HD Audio,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,1699.0,2780.94,2239.97,17.0,43.18,,8192x4608,,,240.0,27.9,22.0,38.3,2.8,,,,,,1000.0,4.0,,,,,,,,,,,,1,,,14.0,58.0,,,2.0,,,,,,,,,
1.0,Full HD,,HDMI 1.4,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,con tapa,,,,Intel,1.0,Intel,,SonicMaster,16:9,L3,DDR4,,3.0,plateado,,,,,ninguna,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,549.0,549.0,549.0,15.6,39.624,,,1280x720,,,23.25,17.0,35.97,1.7,,60.0,12.0,16.0,,1000.0,,1.2,4.7,15.0,16.0,,,,,,,,1,93.0,916.0,198.0,673.0,536.0,,,3731.0,807.0,,265.0,753.0,,1604.0,1604.0,
